Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Denmark,Bornholm,DK-BHM,87.6,128.04,89.64,89.32,bornholm.powerlab.dk,false,
2024-01-01 01:00:00,Denmark,Bornholm,DK-BHM,101.12,144.78,87.98,87.67,bornholm.powerlab.dk,false,
2024-01-01 02:00:00,Denmark,Bornholm,DK-BHM,112.38,159.0,86.6,86.31,bornholm.powerlab.dk,false,
2024-01-01 03:00:00,Denmark,Bornholm,DK-BHM,116.09,163.61,86.13,85.85,bornholm.powerlab.dk,false,
2024-01-01 04:00:00,Denmark,Bornholm,DK-BHM,128.59,179.23,84.58,84.29,bornholm.powerlab.dk,false,
2024-01-01 05:00:00,Denmark,Bornholm,DK-BHM,143.45,197.37,82.82,82.39,bornholm.powerlab.dk,false,
2024-01-01 06:00:00,Denmark,Bornholm,DK-BHM,143.87,197.41,82.77,82.48,bornholm.powerlab.dk,false,
2024-01-01 07:00:00,Denmark,Bornholm,DK-BHM,128.2,199.74,84.63,84.31,bornholm.powerlab.dk,false,
2024-01-01 08:00:00,Denmark,Bornholm,DK-BHM,94.06,214.37,88.74,88.56,bornholm.powerlab.dk,false,
2024-01-01 09:00:00,Denmark,Bornholm,DK-BHM,88.7,207.25,89.68,89.57,bornholm.powerlab.dk,false,
2024-01-01 10:00:00,Denmark,Bornholm,DK-BHM,75.91,190.26,91.37,91.12,bornholm.powerlab.dk,false,
2024-01-01 11:00:00,Denmark,Bornholm,DK-BHM,64.71,179.25,92.62,90.63,bornholm.powerlab.dk,false,
2024-01-01 12:00:00,Denmark,Bornholm,DK-BHM,74.3,188.04,92.06,88.66,bornholm.powerlab.dk,false,
2024-01-01 13:00:00,Denmark,Bornholm,DK-BHM,31.82,142.78,96.47,88.92,bornholm.powerlab.dk,false,
2024-01-01 14:00:00,Denmark,Bornholm,DK-BHM,14.95,123.78,98.23,88.58,bornholm.powerlab.dk,false,
2024-01-01 15:00:00,Denmark,Bornholm,DK-BHM,19.44,126.61,97.57,88.55,bornholm.powerlab.dk,false,
2024-01-01 16:00:00,Denmark,Bornholm,DK-BHM,18.28,121.57,97.87,87.82,bornholm.powerlab.dk,false,
2024-01-01 17:00:00,Denmark,Bornholm,DK-BHM,17.84,121.78,97.99,89.0,bornholm.powerlab.dk,false,
2024-01-01 18:00:00,Denmark,Bornholm,DK-BHM,17.92,128.69,97.61,89.79,bornholm.powerlab.dk,false,
2024-01-01 19:00:00,Denmark,Bornholm,DK-BHM,19.33,137.62,97.25,91.92,bornholm.powerlab.dk,false,
2024-01-01 20:00:00,Denmark,Bornholm,DK-BHM,73.02,200.33,91.28,90.55,bornholm.powerlab.dk,false,
2024-01-01 21:00:00,Denmark,Bornholm,DK-BHM,70.53,200.11,91.63,91.02,bornholm.powerlab.dk,false,
2024-01-01 22:00:00,Denmark,Bornholm,DK-BHM,106.53,196.02,87.1,85.89,bornholm.powerlab.dk,false,
2024-01-01 23:00:00,Denmark,Bornholm,DK-BHM,115.62,164.45,85.89,84.5,bornholm.powerlab.dk,false,
2024-01-02 00:00:00,Denmark,Bornholm,DK-BHM,116.06,163.3,86.03,84.6,bornholm.powerlab.dk,false,
2024-01-02 01:00:00,Denmark,Bornholm,DK-BHM,124.02,173.27,85.03,83.53,bornholm.powerlab.dk,false,
2024-01-02 02:00:00,Denmark,Bornholm,DK-BHM,122.71,172.09,85.13,83.73,bornholm.powerlab.dk,false,
2024-01-02 03:00:00,Denmark,Bornholm,DK-BHM,116.37,165.46,85.79,84.46,bornholm.powerlab.dk,false,
2024-01-02 04:00:00,Denmark,Bornholm,DK-BHM,46.05,88.36,93.53,92.63,bornholm.powerlab.dk,false,
2024-01-02 05:00:00,Denmark,Bornholm,DK-BHM,11.27,59.3,98.36,97.12,bornholm.powerlab.dk,false,
2024-01-02 06:00:00,Denmark,Bornholm,DK-BHM,0.22,82.78,99.97,99.87,bornholm.powerlab.dk,false,
2024-01-02 07:00:00,Denmark,Bornholm,DK-BHM,0.9,84.25,99.87,99.29,bornholm.powerlab.dk,false,
2024-01-02 08:00:00,Denmark,Bornholm,DK-BHM,0.36,81.48,99.95,99.63,bornholm.powerlab.dk,false,
2024-01-02 09:00:00,Denmark,Bornholm,DK-BHM,0.85,82.36,99.88,98.5,bornholm.powerlab.dk,false,
2024-01-02 10:00:00,Denmark,Bornholm,DK-BHM,1.42,82.73,99.79,98.54,bornholm.powerlab.dk,false,
2024-01-02 11:00:00,Denmark,Bornholm,DK-BHM,0.75,82.27,99.89,98.34,bornholm.powerlab.dk,false,
2024-01-02 12:00:00,Denmark,Bornholm,DK-BHM,0.29,83.92,99.96,99.12,bornholm.powerlab.dk,false,
2024-01-02 13:00:00,Denmark,Bornholm,DK-BHM,0.11,81.45,99.98,99.81,bornholm.powerlab.dk,false,
2024-01-02 14:00:00,Denmark,Bornholm,DK-BHM,0.05,83.97,99.99,99.76,bornholm.powerlab.dk,false,
2024-01-02 15:00:00,Denmark,Bornholm,DK-BHM,0.02,81.11,100.0,99.89,bornholm.powerlab.dk,false,
2024-01-02 16:00:00,Denmark,Bornholm,DK-BHM,0.0,79.19,100.0,99.99,bornholm.powerlab.dk,false,
2024-01-02 17:00:00,Denmark,Bornholm,DK-BHM,0.0,75.02,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-02 18:00:00,Denmark,Bornholm,DK-BHM,0.0,75.66,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-02 19:00:00,Denmark,Bornholm,DK-BHM,0.0,73.74,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-02 20:00:00,Denmark,Bornholm,DK-BHM,0.0,73.84,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-02 21:00:00,Denmark,Bornholm,DK-BHM,0.0,74.53,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-02 22:00:00,Denmark,Bornholm,DK-BHM,0.0,49.45,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-02 23:00:00,Denmark,Bornholm,DK-BHM,0.0,20.31,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-03 00:00:00,Denmark,Bornholm,DK-BHM,0.16,20.18,99.98,99.98,bornholm.powerlab.dk,false,
2024-01-03 01:00:00,Denmark,Bornholm,DK-BHM,0.0,20.19,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-03 02:00:00,Denmark,Bornholm,DK-BHM,0.0,19.65,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-03 03:00:00,Denmark,Bornholm,DK-BHM,0.0,20.11,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-03 04:00:00,Denmark,Bornholm,DK-BHM,0.0,19.73,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-03 05:00:00,Denmark,Bornholm,DK-BHM,5.17,27.06,99.36,99.32,bornholm.powerlab.dk,false,
2024-01-03 06:00:00,Denmark,Bornholm,DK-BHM,8.98,31.18,98.93,98.77,bornholm.powerlab.dk,false,
2024-01-03 07:00:00,Denmark,Bornholm,DK-BHM,0.0,69.21,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-03 08:00:00,Denmark,Bornholm,DK-BHM,0.0,72.59,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-03 09:00:00,Denmark,Bornholm,DK-BHM,0.0,71.9,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-03 10:00:00,Denmark,Bornholm,DK-BHM,0.0,72.02,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-03 11:00:00,Denmark,Bornholm,DK-BHM,0.0,73.7,100.0,100.0,bornholm.powerlab.dk,false,
2024-01-03 12:00:00,Denmark,Bornholm,DK-BHM,0.13,75.13,99.98,99.96,bornholm.powerlab.dk,false,
2024-01-03 13:00:00,Denmark,Bornholm,DK-BHM,0.57,76.26,99.92,99.79,bornholm.powerlab.dk,false,
2024-01-03 14:00:00,Denmark,Bornholm,DK-BHM,0.0,75.4,100.0,100.0,bornholm.powerlab.dk,false,
