Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Denmark,West Denmark,DK-DK1,85.48,124.03,87.15,85.6,entsoe.eu,false,
2024-01-01 01:00:00,Denmark,West Denmark,DK-DK1,87.97,126.79,86.82,85.5,entsoe.eu,false,
2024-01-01 02:00:00,Denmark,West Denmark,DK-DK1,90.19,128.41,86.57,85.32,entsoe.eu,false,
2024-01-01 03:00:00,Denmark,West Denmark,DK-DK1,97.49,138.3,85.61,83.48,entsoe.eu,false,
2024-01-01 04:00:00,Denmark,West Denmark,DK-DK1,91.92,131.63,85.52,82.96,entsoe.eu,false,
2024-01-01 05:00:00,Denmark,West Denmark,DK-DK1,93.26,133.22,85.34,82.24,entsoe.eu,false,
2024-01-01 06:00:00,Denmark,West Denmark,DK-DK1,95.61,136.06,85.36,82.83,entsoe.eu,false,
2024-01-01 07:00:00,Denmark,West Denmark,DK-DK1,93.19,133.38,85.32,82.1,entsoe.eu,false,
2024-01-01 08:00:00,Denmark,West Denmark,DK-DK1,88.88,128.08,86.47,85.07,entsoe.eu,false,
2024-01-01 09:00:00,Denmark,West Denmark,DK-DK1,92.06,132.83,85.68,84.94,entsoe.eu,false,
2024-01-01 10:00:00,Denmark,West Denmark,DK-DK1,92.47,134.51,85.63,84.87,entsoe.eu,false,
2024-01-01 11:00:00,Denmark,West Denmark,DK-DK1,95.78,139.68,85.08,84.05,entsoe.eu,false,
2024-01-01 12:00:00,Denmark,West Denmark,DK-DK1,100.71,147.99,84.36,82.94,entsoe.eu,false,
2024-01-01 13:00:00,Denmark,West Denmark,DK-DK1,106.01,153.85,83.85,81.59,entsoe.eu,false,
2024-01-01 14:00:00,Denmark,West Denmark,DK-DK1,110.7,159.52,83.34,80.39,entsoe.eu,false,
2024-01-01 15:00:00,Denmark,West Denmark,DK-DK1,124.42,172.81,81.93,79.27,entsoe.eu,false,
2024-01-01 16:00:00,Denmark,West Denmark,DK-DK1,135.74,181.76,81.18,78.97,entsoe.eu,false,
2024-01-01 17:00:00,Denmark,West Denmark,DK-DK1,136.15,180.27,81.38,79.08,entsoe.eu,false,
2024-01-01 18:00:00,Denmark,West Denmark,DK-DK1,132.22,177.02,81.89,79.76,entsoe.eu,false,
2024-01-01 19:00:00,Denmark,West Denmark,DK-DK1,111.83,156.42,83.04,79.25,entsoe.eu,false,
2024-01-01 20:00:00,Denmark,West Denmark,DK-DK1,106.49,149.35,83.72,79.95,entsoe.eu,false,
2024-01-01 21:00:00,Denmark,West Denmark,DK-DK1,103.34,146.36,84.65,81.6,entsoe.eu,false,
2024-01-01 22:00:00,Denmark,West Denmark,DK-DK1,82.42,122.41,86.07,80.31,entsoe.eu,false,
2024-01-01 23:00:00,Denmark,West Denmark,DK-DK1,89.24,126.94,85.41,79.43,entsoe.eu,false,
2024-01-02 00:00:00,Denmark,West Denmark,DK-DK1,97.14,134.75,84.61,78.77,entsoe.eu,false,
2024-01-02 01:00:00,Denmark,West Denmark,DK-DK1,93.15,132.46,84.85,78.79,entsoe.eu,false,
2024-01-02 02:00:00,Denmark,West Denmark,DK-DK1,91.32,131.14,85.25,79.34,entsoe.eu,false,
2024-01-02 03:00:00,Denmark,West Denmark,DK-DK1,85.08,122.98,86.05,80.39,entsoe.eu,false,
2024-01-02 04:00:00,Denmark,West Denmark,DK-DK1,77.92,114.16,86.78,81.78,entsoe.eu,false,
2024-01-02 05:00:00,Denmark,West Denmark,DK-DK1,77.44,116.19,86.89,83.22,entsoe.eu,false,
2024-01-02 06:00:00,Denmark,West Denmark,DK-DK1,90.54,130.3,85.31,83.01,entsoe.eu,false,
2024-01-02 07:00:00,Denmark,West Denmark,DK-DK1,91.98,131.38,85.66,84.34,entsoe.eu,false,
2024-01-02 08:00:00,Denmark,West Denmark,DK-DK1,90.27,129.22,86.16,84.89,entsoe.eu,false,
2024-01-02 09:00:00,Denmark,West Denmark,DK-DK1,80.62,119.28,86.02,85.37,entsoe.eu,false,
