Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2024-01-01 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,209.55,288.79,49.11,45.73,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 01:00:00,Northern Ireland,Northern Ireland,GB-NIR,201.84,278.67,50.99,47.12,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 02:00:00,Northern Ireland,Northern Ireland,GB-NIR,210.28,290.31,48.98,41.37,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 03:00:00,Northern Ireland,Northern Ireland,GB-NIR,226.87,312.06,45.05,36.79,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 04:00:00,Northern Ireland,Northern Ireland,GB-NIR,224.49,309.01,45.59,37.36,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 05:00:00,Northern Ireland,Northern Ireland,GB-NIR,225.75,310.67,45.36,37.26,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 06:00:00,Northern Ireland,Northern Ireland,GB-NIR,219.43,302.18,46.98,38.98,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 07:00:00,Northern Ireland,Northern Ireland,GB-NIR,201.19,278.11,51.46,43.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 08:00:00,Northern Ireland,Northern Ireland,GB-NIR,189.34,263.79,54.23,44.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 09:00:00,Northern Ireland,Northern Ireland,GB-NIR,183.62,257.62,55.45,47.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 10:00:00,Northern Ireland,Northern Ireland,GB-NIR,182.87,256.56,55.6,48.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 11:00:00,Northern Ireland,Northern Ireland,GB-NIR,204.87,285.93,50.13,43.87,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 12:00:00,Northern Ireland,Northern Ireland,GB-NIR,210.81,293.78,48.55,42.18,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 13:00:00,Northern Ireland,Northern Ireland,GB-NIR,202.02,281.27,50.6,45.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 14:00:00,Northern Ireland,Northern Ireland,GB-NIR,190.14,265.55,53.4,48.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 15:00:00,Northern Ireland,Northern Ireland,GB-NIR,160.81,226.55,60.59,56.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 16:00:00,Northern Ireland,Northern Ireland,GB-NIR,138.04,195.26,66.33,64.84,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 17:00:00,Northern Ireland,Northern Ireland,GB-NIR,130.89,186.54,68.05,65.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 18:00:00,Northern Ireland,Northern Ireland,GB-NIR,137.27,194.73,66.52,64.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 19:00:00,Northern Ireland,Northern Ireland,GB-NIR,148.04,209.1,63.91,61.31,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 20:00:00,Northern Ireland,Northern Ireland,GB-NIR,153.5,216.21,62.58,59.7,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 21:00:00,Northern Ireland,Northern Ireland,GB-NIR,157.69,221.58,61.59,58.14,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 22:00:00,Northern Ireland,Northern Ireland,GB-NIR,173.01,240.66,57.9,56.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-01 23:00:00,Northern Ireland,Northern Ireland,GB-NIR,181.87,252.58,55.84,51.8,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,202.93,280.62,50.75,44.38,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 01:00:00,Northern Ireland,Northern Ireland,GB-NIR,210.61,290.69,48.93,42.53,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 02:00:00,Northern Ireland,Northern Ireland,GB-NIR,217.48,299.67,47.33,40.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 03:00:00,Northern Ireland,Northern Ireland,GB-NIR,221.99,305.72,46.24,38.69,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 04:00:00,Northern Ireland,Northern Ireland,GB-NIR,221.38,304.88,46.42,38.83,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 05:00:00,Northern Ireland,Northern Ireland,GB-NIR,232.9,320.06,43.64,35.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 06:00:00,Northern Ireland,Northern Ireland,GB-NIR,208.73,288.11,49.33,42.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 07:00:00,Northern Ireland,Northern Ireland,GB-NIR,192.9,268.46,53.0,44.92,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 08:00:00,Northern Ireland,Northern Ireland,GB-NIR,173.86,244.12,57.58,50.4,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 09:00:00,Northern Ireland,Northern Ireland,GB-NIR,182.94,257.03,55.09,48.68,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 10:00:00,Northern Ireland,Northern Ireland,GB-NIR,192.33,269.89,52.49,46.01,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 11:00:00,Northern Ireland,Northern Ireland,GB-NIR,198.03,277.61,50.97,44.76,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 12:00:00,Northern Ireland,Northern Ireland,GB-NIR,204.88,286.57,49.3,42.94,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 13:00:00,Northern Ireland,Northern Ireland,GB-NIR,202.53,283.58,49.79,43.52,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 14:00:00,Northern Ireland,Northern Ireland,GB-NIR,207.78,290.03,48.5,42.78,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 15:00:00,Northern Ireland,Northern Ireland,GB-NIR,201.74,281.65,50.13,44.88,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 16:00:00,Northern Ireland,Northern Ireland,GB-NIR,198.97,278.5,50.73,44.61,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 17:00:00,Northern Ireland,Northern Ireland,GB-NIR,196.28,274.42,51.64,45.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 18:00:00,Northern Ireland,Northern Ireland,GB-NIR,195.15,272.99,51.94,46.21,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 19:00:00,Northern Ireland,Northern Ireland,GB-NIR,186.77,262.37,53.95,47.86,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 20:00:00,Northern Ireland,Northern Ireland,GB-NIR,179.11,252.79,55.93,49.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 21:00:00,Northern Ireland,Northern Ireland,GB-NIR,175.37,248.4,56.98,49.82,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 22:00:00,Northern Ireland,Northern Ireland,GB-NIR,175.59,248.2,57.21,49.03,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-02 23:00:00,Northern Ireland,Northern Ireland,GB-NIR,180.06,249.94,56.44,47.1,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 00:00:00,Northern Ireland,Northern Ireland,GB-NIR,208.07,286.84,49.67,41.0,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 01:00:00,Northern Ireland,Northern Ireland,GB-NIR,201.72,278.45,51.25,42.91,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 02:00:00,Northern Ireland,Northern Ireland,GB-NIR,202.43,279.35,51.03,42.48,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 03:00:00,Northern Ireland,Northern Ireland,GB-NIR,202.14,278.91,51.0,42.27,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
2024-01-03 04:00:00,Northern Ireland,Northern Ireland,GB-NIR,201.59,278.26,51.1,42.55,Electricity Maps Estimation,true,ESTIMATED_MODE_BREAKDOWN
