zone,avg_carbon_intensity_gco2_kwh,n_hours
SE-SE4,37.62,8784
LT,164.58,8784
FR,31.16,8784
IT-SO,294.07,8784
DK-BHM,56.58,8784
EE,285.64,8784
PL,703.19,8784
IT-CSO,299.87,8784
RO,319.12,8784
BG,340.57,8784
IT-SAR,528.15,8784
SI,223.53,8784
SE-SE3,19.73,8784
NL,272.93,8784
MT,424.61,8784
GR,332.01,8784
CZ,476.88,8784
HU,236.3,8784
SE-SE2,15.64,8784
DE,332.54,8784
LU,246.51,8784
IT-SIC,313.42,8784
HR,226.27,8784
DK-DK2,125.46,8784
FI,72.69,8784
IT-NO,238.25,8784
IT-CNO,255.51,8784
ES,123.35,8784
AT,120.05,8784
PT,100.53,8784
LV,181.34,8784
DK-DK1,118.57,8784
GB-NIR,306.86,8784
IE,406.17,8784
SK,237.63,8784
SE-SE1,15.31,8784
BE,149.46,8784
CY,698.95,8784
